,density,smiles
0,1.122,CCC1(CC)C(=O)NC(=O)N(C)C1=O
1,1.154,CCC1(c2ccccc2)NC(=O)N(C)C1=O
2,1.277,CC(O)C(=O)O
3,1.255,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
4,1.17,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
5,1.635,O=C(O)c1c(Cl)ccc(Cl)c1Cl
6,1.596,OCC(O)C(O)C(O)C(O)CO
7,1.42,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
8,1.452,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
9,1.64,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
10,1.149,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2
11,1.14,NCCc1c[nH]cn1
12,1.107,ClCCN(Cc1ccccc1)Cc1ccccc1
13,1.106,CN(CCCl)CCCl
14,1.14,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
15,1.354,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
16,1.334,NC(CS)C(=O)O
17,1.28,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
18,1.23,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
19,1.606,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
20,1.018,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
21,1.198,CC(N)C(O)c1cccc(O)c1
22,1.01,Cc1cc(N(C)C)ccc1N=Nc1ccccc1
23,0.99,CC(Cc1ccccc1)NN
24,1.36,Cc1cc(=O)[nH]c(=S)[nH]1
25,1.107,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
26,1.298,OCC(O)CO
27,1.146,O=C1CCO1
28,0.9,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
29,1.305,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
30,1.352,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
31,1.133,CN(C)CCCN1c2ccccc2Sc2ccccc21
32,1.466,Cn1c(=O)c2[nH]cnc2n(C)c1=O
33,1.024,CN(C)CCOC(c1ccccc1)c1ccccc1
34,1.59,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
35,1.68,Nc1nc2[nH]cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc-2c(=O)n1
36,1.206,CSCCC(N)C(=O)O
37,1.054,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
38,1.56,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
39,1.206,CCOS(C)(=O)=O
40,1.326,NC(N)=S
41,1.201,CCOS(=O)(=O)OCC
42,1.132,O=Cc1ccc(Oc2ccccc2)cc1
43,0.773,CC(C)=O
44,1.16,CS(C)(=O)=O
45,1.483,O=C(CBr)c1ccccc1
46,1.48,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1
47,1.104,CCC(=O)c1ccc(O)cc1
48,1.86,O=c1nc[nH]c(=O)[nH]1
49,1.084,CNCCC=C1c2ccccc2CCc2ccccc21
50,1.467,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1
51,1.91,Nc1ncnc2c1ncn2C1OC(CO)CC1O
52,1.362,NC(Cc1c[nH]c2ccccc12)C(=O)O
53,1.612,Nc1ncnc2[nH]cnc12
54,1.175,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
55,1.425,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
56,0.822,CCS
57,0.929,FCF
58,3.325,ICI
59,0.822,CSC
60,0.859,CC(C)Cl
61,1.703,CC(C)I
62,1.055,C[N+](=O)[O-]
63,0.8,CC1CN1
64,0.696,CC(C)(C)N
65,0.805,CC(C)(C)O
66,0.8,CC(C)(C)S
67,0.649,CCC(C)(C)C
68,0.932,CC(C)(O)C#N
69,0.915,CC(C)(C)OO
70,1.483,CC(O)C(Cl)(Cl)Cl
71,0.982,CC12CCC(CC1=O)C2(C)C
72,1.279,O=C(O)C(O)(c1ccccc1)c1ccccc1
73,1.385,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
74,1.11,CCC1(c2ccccc2)CCC(=O)NC1=O
75,1.038,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1
76,1.048,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
77,0.999,CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C
78,1.142,CC1(C)NC(=O)NC1=O
79,1.049,C1=CC2C3C=CC(C3)C2C1
80,1.136,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
81,1.116,CCC(CO)(CO)CO
82,1.066,CCOP(=O)(OCC)OCC
83,1.074,CCCCSP(=O)(SCCCC)SCCCC
84,1.027,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
85,0.905,CC1=CC(=O)CC(C)(C)C1
86,0.912,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
87,1.236,ClCC1(CCl)COC1
88,2.628,BrCC(Br)Br
89,0.76,CC(C)C#N
90,1.435,ClCC(Cl)Cl
91,1.068,CCC(=O)Cl
92,1.386,O=C(Cl)CCl
93,1.268,NC(=O)CCl
94,1.416,O=C(O)CO
95,0.87,CNC(C)=O
96,0.908,COC(C)=O
97,0.942,C=C(C)C(N)=O
98,0.799,CN1C(C)(C)CCCC1(C)C
99,0.99,CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O
100,0.92,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
101,1.479,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1
