,csid,donotuse,donotusebecause,key,link,mpC,name,smiles,source
13374,553448.0,,,13375.0,http://www.amazon.com/dp/B003XEQTLE,-27.0,"1,3,5,7-cyclooctatetraene",C1=CC=CC=CC=C1,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.
19798,9885.0,,,19799.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,55.0,chloronaphazine,ClCCN(CCCl)c1ccc2ccccc2c1,PHYSPROP
6098,16499435.0,,,6099.0,http://www.alfa.com/en/GP100W.pgm?DSSTK=H26558,57.0,6-chloro-2-fluoro-3-methylbenzonitrile,Cc1ccc(c(c1F)C#N)Cl,Alfa Aesar
14226,8577.0,,,14227.0,http://www.amazon.com/dp/B002IYRJWI,-26.0,1-decanethiol,CCCCCCCCCCS,American Petroleum Institute. Research Project 44; Selected Values of Properties of Hydrocarbons and Related Compounds. Texas A & M University; College Station; TX; 1973.
28499,1031.0,,,28500.0,http://www.alfa.com/en/GP100w.pgm?DSSTK=A13875,11.5,pyruvic acid,O=C(C(=O)O)C,Alfa Aesar
25690,4512358.0,,,25691.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,301.0,"2,4-hexadienedioic acid, (e,e)-",OC(=O)/C=C/C=C/C(=O)O,PHYSPROP
18308,15494.0,,,18309.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,1.5,o-bromobiphenyl,Brc2ccccc2c1ccccc1,PHYSPROP
24769,122128.0,,,24770.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,191.0,2-nitrobenzenesulfonamide,O=S(N)(=O)c1ccccc1[N+]([O-])=O,PHYSPROP
15024,4268.0,,,15025.0,http://msds.chem.ox.ac.uk/,229.5,"1-Ethyl-7-methyl-4-oxo-1,4-dihydro-1,8-naphthyridine-3-carboxylic acid",O=C(O)C2=CN(CC)c1nc(C)ccc1C2=O,academic website
13734,21105870.0,,,13735.0,http://www.amazon.com/dp/B003XEQTLE,34.0,cinnamyl_alcohol,OCC=Cc1ccccc1,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.
26454,13835977.0,,,26455.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,-88.2,allylamine,C=CCN,PHYSPROP
3954,61315.0,,,3955.0,http://www.alfa.com/en/GP100W.pgm?DSSTK=L06701,131.0,3-fluorobenzamide,c1cc(cc(c1)F)C(=O)N,Alfa Aesar
6896,11824.0,,,6897.0,http://www.alfa.com/en/GP100W.pgm?DSSTK=B21174,8.0,dimethyl adipate,COC(=O)CCCCC(=O)OC,Alfa Aesar
23798,66996.0,,,23799.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,67.0,"pyrimidine, 2-chloro-",Clc1ncccn1,PHYSPROP
19858,9650.0,,,19859.0,http://www.srcinc.com/what-we-do/product.aspx?id=133,5.6,"2-butanol, 3,3-dimethyl-, (.+-.)-",CC(C)(C)C(C)O,PHYSPROP
7354,6313.0,,,7355.0,http://www.alfa.com/en/GP100W.pgm?DSSTK=A12106,-65.0,isobutyraldehyde,CC(C)C=O,Alfa Aesar
13517,12822.0,,,13518.0,http://www.amazon.com/dp/B003XEQTLE,84.0,4-aminobenzonitrile,N#Cc1ccc(N)cc1,Aldrich Chemical Company; Aldrich Catalog-Handbook of Fine Chemicals; Milwaukee; WI; 1984.
10666,2034706.0,,,10667.0,http://dx.doi.org/10.1021/ci0500132,202.0,"6-amino-4-(4-fluorophenyl)-1-phenyl-3-(trifluoromethyl)-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",Fc1ccc(cc1)C1c2c(OC(N)=C1C#N)[nH0]([nH0]c2C(F)(F)F)c1ccccc1,Karthikeyan M.; Glen R.C.; Bender A. General melting point prediction based on a diverse compound dataset and artificial neural networks. J. Chem. Inf. Model.; 2005; 45(3); 581-2249
16600,4319.0,,,16601.0,http://www.drugbank.ca/drugs/DB00622,137.0,Nicardipine,CC=2NC(C)=C(C(C=2C(=O)OCCN(C)Cc1ccccc1)c3cccc(c3)[N+]([O-])=O)C(=O)OC,DrugBank
10585,2034853.0,,,10586.0,http://dx.doi.org/10.1021/ci0500132,151.0,"3-[(4-bromophenyl)carbonyl]-5-(4-nitrophenyl)-1-phenyl-3a,6a-dihydropyrrolo[3,4-c]pyrazole-4,6(1H,5H)-dione",Brc1ccc(cc1)C(=O)C1=NN(c2ccccc2)C2C(=O)N(C(=O)C12)c1ccc([N+](=O)[O-])cc1,Karthikeyan M.; Glen R.C.; Bender A. General melting point prediction based on a diverse compound dataset and artificial neural networks. J. Chem. Inf. Model.; 2005; 45(3); 581-2168
3852,66365.0,,,3853.0,http://www.alfa.com/en/GP100W.pgm?DSSTK=A15673,12.0,3-chlorophenylacetonitrile,c1cc(cc(c1)Cl)CC#N,Alfa Aesar
